Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Metafield: bnpl.sale_price [money],Image Src,Status,Metafield: specs.processor [single_line_text_field],Metafield: specs.ram [single_line_text_field],Metafield: specs.storage [single_line_text_field],Metafield: specs.os [single_line_text_field],Metafield: specs.display [single_line_text_field],Metafield: specs.resolution [single_line_text_field],Metafield: specs.camera [single_line_text_field],Metafield: specs.sensor [single_line_text_field],Metafield: specs.driver_size [single_line_text_field],Metafield: specs.battery [single_line_text_field],Metafield: specs.output_power [single_line_text_field],Metafield: specs.capacity [single_line_text_field],Metafield: specs.connectivity [single_line_text_field],Metafield: specs.compatibility [single_line_text_field],Metafield: specs.water_resistance [single_line_text_field],Metafield: specs.dimensions [single_line_text_field],Metafield: specs.weight [single_line_text_field],Metafield: specs.material [single_line_text_field],Metafield: specs.energy_rating [single_line_text_field],Metafield: specs.included_in_box [single_line_text_field]
sample-smartphone-pro,Sample Smartphone Pro,<p>Example smartphone listing — replace with real product copy.</p>,Nuru Electronics,Smartphones,"smartphone,example",TRUE,Storage,128GB,PHN-EX-128,10,45000,,,https://example.com/images/phone.jpg,active,Octa-core 2.4GHz,8GB,,Android 14,"6.5-inch AMOLED, 120Hz",,50MP main + 12MP ultrawide,,,5000mAh,,,"5G, Wi-Fi 6, Bluetooth 5.3",,IP68,162 x 75 x 8.2 mm,195g,"Aluminum frame, glass back",,"Phone, USB-C cable, SIM tool"
wireless-earbuds-x1,Wireless Earbuds X1,<p>Bluetooth 5.3 earbuds with active noise cancellation and 30-hour battery life.</p>,Nuru Electronics,Audio,"earbuds,audio,wireless",TRUE,Color,Black,WEB-X1-BLK,50,3500,4200,,https://example.com/images/earbuds-black.jpg,active,,,,,,,,,10mm dynamic,30 hours (case included),,,Bluetooth 5.3,iOS and Android,IPX4,,4.5g per earbud,,,"Earbuds, charging case, USB-C cable"
wireless-earbuds-x1,Wireless Earbuds X1,,Nuru Electronics,Audio,"earbuds,audio,wireless",TRUE,Color,White,WEB-X1-WHT,30,3500,4200,,https://example.com/images/earbuds-white.jpg,active,,,,,,,,,,,,,,,,,,,,
usb-c-fast-charger-65w,USB-C Fast Charger 65W,"<p>Compact GaN charger, fast-charges laptops and phones alike.</p>",Nuru Electronics,Chargers,"charger,usb-c,gan",TRUE,Default Title,Default Title,CHG-65W-001,100,2200,,,https://example.com/images/charger-65w.jpg,active,,,,,,,,,,,65W,,"USB-C PD, USB-A QC3.0",,,43 x 43 x 29mm,78g,,,Charger (no cable included)
sample-power-bank-20000,Sample Power Bank 20000mAh,<p>Example power bank listing — replace with real product copy.</p>,Nuru Electronics,Power Banks,"power bank,charging,example",TRUE,Default Title,Default Title,PWR-EX-20K,25,3200,,,https://example.com/images/power-bank.jpg,active,,,,,,,,,,,22.5W fast charging,20000mAh,"USB-C, USB-A",,,150 x 70 x 15mm,380g,,,"Power bank, USB-C cable"
sample-smart-tv-55,Sample 55-inch Smart TV,<p>Example television listing — replace with real product copy.</p>,Nuru Electronics,Televisions,"tv,smart tv,example",TRUE,Default Title,Default Title,TV-EX-55,8,68000,75000,,https://example.com/images/smart-tv.jpg,active,,,,Smart TV OS,55-inch LED,4K UHD (3840x2160),,,,,,,"Wi-Fi, Bluetooth, 3x HDMI, 2x USB",,,1230 x 710 x 80mm,12.5kg,,A+,"TV, remote, stand, power cable"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
